ArticleId,Text,Category
1833,worldcom exboss launch defenc lawyer defend former worldcom chief berni ebber batteri fraud charg call compani whistleblow first wit cynthia cooper worldcom exhead intern account alert director irregular account practic us telecom giant warn led collaps firm follow discoveri bn bn account fraud mr ebber plead guilti charg fraud conspiraci prosecut lawyer argu mr ebber orchestr seri account trick worldcom order employe hide expens inflat revenu meet wall street earn estim ms cooper run consult busi told juri new york wednesday extern auditor arthur andersen approv worldcom account earli said andersen given green light procedur practic use worldcom mr ebber lawyer said unawar fraud argu auditor alert problem ms cooper also said sharehold meet mr ebber often pass technic question compani financ chief give brief answer prosecut star wit former worldcom financi chief scott sullivan said mr ebber order account adjust firm tell hit book howev ms cooper said mr sullivan mention anyth uncomfort worldcom account audit committe meet mr ebber could face jail sentenc year convict charg face worldcom emerg bankruptci protect known mci last week mci agre buyout verizon communic deal valu bn,business
154,german busi confid slide german busi confid fell februari knock hope speedi recoveri europ largest economi munichbas research institut ifo said confid index fell februari januari first declin three month studi found outlook manufactur retail sector worsen observ hope confid busi sector would signal econom activ pick surpris ifo index taken knock said dz bank economist bernd weidenstein main reason probabl domest economi still weak particular retail trade economi labour minist wolfgang clement call dip februari ifo confid figur mild declin said despit retreat index remain relat high level expect modest econom upsw continu germani economi grew last year shrink howev economi contract last three month main due reluct consum spend latest indic growth still prove elus ifo presid hanswern sinn said improv german domest demand sluggish export kept thing go first half demand export hit valu euro hit record level make german product less competit oversea top unemploy rate stuck close manufactur firm includ daimlerchrysl siemen volkswagen negoti union cost cut measur analyst said ifo figur germani continu problem may delay interest rate rise european central bank eurozon interest rate comment senior offici recent focus threat inflat prompt fear interest rate may rise,business
1101,bbc poll indic econom gloom citizen major nation survey bbc world servic poll believ world economi worsen respond also said nation economi get wors ask famili financi outlook major countri said posit futur almost peopl countri question poll most conduct asian tsunami disast poll found major plural peopl countri believ economi go downhil compar respond nine countri believ improv survey three countri split percentag term averag respond countri said world economi get wors compar said improv similar pessimist nation economi optimist saw famili econom condit improv said get wors poll peopl conduct intern poll firm globescan togeth program intern polici attitud pipa univers maryland world economi pick difficult time year ago peopl seem fulli absorb develop though person experienc effect said pipa director steven kull peopl around world say ok world may percept war terror religi polit divis make world wors place even though far reflect global econom perform say bbc elizabeth blunt countri peopl optimist world famili two fastgrow develop economi china india follow indonesia china seen two decad blister econom growth led wealth creation huge scale say bbc louisa lim beij result also may reflect untrammel confid peopl subject endless govern propaganda countri rosi econom futur correspond say south korea pessimist respond itali mexico also quit gloomi bbc david willey rome say one reason result changeov lira euro wide view biggest reason wage salari worth less use philippin among upbeat countri prospect respond famili one pessimist world economi pipa conduct poll novemb januari across countri facetofac telephon interview interview took place novemb januari margin error point depend countri eight countri sampl limit major metropolitan area,business
1976,lifestyl govern mobil choic faster better funkier hardwar alon go help phone firm sell handset research suggest instead phone firm keen get custom push technolog sake consum far interest handset fit lifestyl screen size onboard memori chip insid show indepth studi handset maker ericsson histor industri much focus use technolog said dr michael bjorn senior advisor mobil media ericsson consum enterpris lab stop say technolog chang live said tri speak consum languag help see fit told bbc news websit studi ericsson interview mobil phone owner way use phone peopl habit remain said dr bjorn move activ mobil phone much conveni way one good exampl diarywrit among younger peopl said diari alway popular mobil phone especi one equip camera help keep differ form youngster use text messag also reflect desir chat keep contact friend let slight chang way dr bjorn said although consum alway use phone sheer varieti new handset technolog make possibl gradual drive new habit lifestyl ericsson research shown consum divid differ tribe use phone differ way dr bjorn said group dub pioneer materialist interest tri new thing behind start mani trend phone use instanc said older peopl use sms much five year ago younger user often children age mobil owner encourag older peopl tri could keep touch anoth factor govern speed chang mobil phone use simpl speed new devic bought pioneer materialist peopl handset new innov camera consum stop worri send pictur messag person end abl see signific number user pass use new innov tend take dr bjorn said earli report camera phone usag japan seem impli innov go flop howev said japanes peopl ericsson question use camera phone least month figur similar across europ number peopl take snap camera start rise peopl uk took phonecam snap least month figur similar rise seen mani european nation dr bjorn said peopl also use camera phone differ way film even digit camera usag pattern digit camera almost exact replac usag pattern analogu camera said digit camera tend use signific event wed holiday birthday contrast said camera phone use much captur moment woven everyday life,tech
917,enron boss payout eighteen former enron director agre settlement deal sharehold lawsuit collaps energi firm lead plaintiff univers california announc news ad former director pay pocket settlement put court approv next week enron went bankrupt emerg hidden hundr million dollar debt collaps firm seventh biggest public us compani revenu demis sent shockwav financi market dent investor confid corpor america settlement signific hold outsid director least partial person respons william lerach lawyer lead class action suit enron said hope help send messag corpor boardroom import director perform legal duti ad term settlement cover insur none former director admit wrongdo deal fourth major settlement negoti lawyer file class action behalf enron sharehold almost three year ago far includ latest deal retriev investor howev latest deal includ former enron chief execut ken lay jeff skill men face crimin charg alleg misconduct run firm collaps neither cover andrew fastow plead guilti take part illeg conspiraci chief financi offic group enron sharehold still seek damag long list big name defend includ financi institut jp morgan chase citigroup merril lynch credit suiss first boston univers california said trial case schedul begin octob join lawsuit decemb alleg massiv insid trade fraud claim lost invest compani,business
1582,howard truant play snooker conserv leader michael howard admit use play truant spend time school friend snooker hall mr howard said time jack snooker hall llanelli done last damag told time educ supplement truanci bad said firm action need mr howard also call return olevel classroom disciplin mr howard eventu left llanelli grammar school snooker hall go cambridg univers said think done last damag made snooker world champion might occas left earli afternoon honest think truanci bad thing firm action taken deal anoth player fail win snooker world championship jimmi whirlwind white previous admit miss lesson instead spend day smoki hall toni meo anoth player use spend spare time mr white said love game atmospher school went window went start take time mr howard fellow welshman ray reardon known fellow profession dracula snooker world championship six time left school work miner terri griffith like mr howard llanelli tournament known whether two ever clash cue jack,politics
651,wale silent grand slam talk rhys william say wale still think win grand slam despit third six nation win last thing mind moment said william second half replac saturday win franc pari realis difficult task go scotland beat come unstuck coupl time recent focus game worri ireland hope beaten scotland captain gareth thoma rule rest campaign broken thumb william vy first start championship far kevin morgan probabl favourit replac thoma fullback leav william hal luscomb battl right wing berth hamstr injuri deni luscomb opportun make third success start dragon winger expect fit trip murrayfield march hooker robin mcbryde doubt pick knee injuri pari centr sonni parker flanker colin charvi set recov injuri content select said wale assist coach scott johnson work weekend report bit posit get coupl back add depth squad scotland secur first win campaign saturday grind win itali matt william side shown littl attack johnson insist scot difficult opposit break itali realli brave opposit sometim hard win said ugli win effect point victori scotland hard side underr take anyth grant bask glori win first three game got dilig prepar job got make sure focus,sport
1797,french honour director parker british film director sir alan parker made offic order art letter one franc highest cultur honour sir alan receiv decor pari wednesday french cultur minist renaud donnedieu de vabr explor possibl film immens talent mr de vabr said present award parker prais french film say hollywood creat modern cinema use commod told minist honour thus distinguish franc flag carrier cinema throughout world sir alan film includ oscarwin fame plus midnight express commit found member director guild great britain former chairman uk film council board british film institut work campaign shown us artist occupi essenti place contemporari societi mr de vabr said dream show us link weav question world mirror work also cite director film life david gale kevin spacey play man death row proof verit artist commit death sentenc,entertainment
2034,car giant hit merced slump slump profit luxuri car maker merced prompt big drop profit parent daimlerchrysl germanus carmak saw fourth quarter oper profit fall euro bn bn euro mercedesbenz woe profit slid euro obscur strong perform chrysler group whose return met market expect merced face fierc competit luxuri car sector bmw hope reviv fortun merced profit period compar unfavour euro figur well analyst expect euro year whole oper profit fell bn euro sale merced brand fell demand cool revenu affect weak us dollar carmak blame fall profit high launch cost new model loss merced smart minicar rang merced hope increas product bn euro negoti euro annual save german worker last year firm said determin retain merced posit world success luxuri brand howev daimlerchrysl share fell news divis well big worri continu surround mercedesbenz michael rabb analyst bank sal oppenheim told reuter contrast chrysler enjoy annual increas unit sale revenu calcul us dollar rose us divis whose marqu includ dodg jeep transform full year oper loss euro bn euro profit last year overal daimlerchrysl saw worldwid vehicl sale rise million total revenu ad bn euro chrysler strong perform help world fifth largest carmak boost net incom euro bn euro year show strategi work well even challeng competit environ said jurgen schrempp daimlerchrysl chairman daimlerchrysl took euro hit cost stem defect scandal joint ventur japanes subsidiari fuso daimlerchrysl last week agre compens packag partner mitsubishi motor see buy stake fuso look forward daimerchrysl profit expect slight higher howev expect signific improv profit result major invest merced product rang,business
1866,focker fuel festiv film chart comedi meet focker top festiv box offic north america set new record christma day sequel took decemb accord studio estim took christma day alon highest take day box offic histori meet focker sequel ben stiller comedi meet parent also star robert de niro blyth danner dustin hoffman barbra streisand despit success meet focker take figur blame christma fall weekend year christma fall weekend bad busi said paul dergarabedian presid exhibitor relat compil box offic statist weekend top film took estim compar last year third lord ring film domin box offic meet focker knock last week top film lemoni snicket seri unfortun event third place comedi fat albert cowritten bill cosbi enter chart second place open christma day take aviat star leonardo dicaprio howard hugh took expand cinema christma day,entertainment
1683,blair reject iraq advic call toni blair reject call public advic legal iraq war amid grow call investig prime minist told month press confer matter dealt attorney general earlier conserv mp michael mate join call probe claim lord goldsmith statement parliament drawn number mr blair said statement fair summari lord goldsmith opinion lord goldsmith said say dealt time time time mr blair told month news confer down street refus answer question issu say dealt liter score time posit chang lord goldsmith deni lean say word written govern refus publish advic legal war say paper alway kept confidenti mr mate member common intellig secur committe part butler inquiri prewar intellig told bbc friday general rule right absolut rule said occas advic publish recent regard princ charl marriag plan govern could pick choos use convent said mr mate ad discov two three occas past law offic advic govern publish may one special occas would public interest see advic attorney general gave prime minist argument reject mr blair said first broken preced second peter goldsmith made statement got absolut noth add book publish week philipp sand qc member cheri blair matrix chamber say lord goldsmith warn toni blair march iraq war could illeg without second un resolut sanction militari action short statement lord goldsmith posit present written parliamentari answer march crucial common vote militari action mr sand book suggest actual written home offic minist lord falcon down street advis baro morgan former minist clare short resign govern iraq war said statement earlier shown cabinet discuss militari action told bbc full advic attach accord ministeri code view need hous lord set special committe summon attorney get paper look exact happen said conserv liber democrat say want public full legal advic given attorney general thursday lord goldsmith said statement written number parliamentari answer march explain genuin held independ view militari action law exist secur council resolut said,politics
1153,housew lift channel rate debut us televis hit desper housew help lift channel januari audienc share compar last year success celebr big brother simpson enabl broadcast surpass bbc first month sinc last juli howev channel share audienc fell last month comparison januari celebr big brother attract less viewer seri comedi drama desper housew manag pull five million viewer one point run date attract quarter televis audienc two main televis channel bbc itv seen month audienc share declin year year comparison januari five proport remain slender digit multichannel tv continu strongest area growth bbc report freeview box ownership five million includ one million sale last portion share audienc soar januari compar last year current stand averag,entertainment
1028,uk coal plung deeper loss share uk coal fallen mine group report loss deepen uk biggest coal produc blame geolog problem industri action oper flaw deep mine worsen fortun south yorkshir compani led new chief execut gerri spindler said hope return profit earli trade thursday share penc uk coal said make signific progress shake busi introduc new wage structur new daili mainten regim machineri mine method continu mine advers condit compani said action signific uplift earn expect transit year return profit recent rise coal price fail benefit compani output alreadi sold said total product cost per gigajoul uk coal said averag sell price per gigajoul long journey ahead fix issu continu make progress great stride alreadi made said mr spindler uk coal oper deep surfac mine across nottinghamshir derbyshir leicestershir yorkshir west midland northumberland durham,business
812,bp surg ahead high oil price oil giant bp announc rise annual profit bn bn back record oil price last week rival shell report annual profit bn record profit uklist compani bp ad increas fourthquart dividend cent would continu share buyback bp chief execut lord brown said result strong oper financi compani earn hour despit record annual profit figur bp perform expect citi analyst howev bp share price rose p near morn trade p profit rise year includ profit bn bn final three month bn year ago third quarter speak bbc today programm tuesday lord brown said profit sole high oil price alon profit price oil said lord brown point bp reap benefit invest oil explor spent mani year buy asset price low said compani made new discoveri egypt gulf mexico angola howev lord brown reject call windfal tax compani huge profit say north sea paid progress tax profit made lord brown believ oil price remain quit high current barrel said price oil well support barrel medium term bp put product year billion barrel oil slight lower four billion barrel initi aim,business
707,ireland argentina injurytim drop goal ronan gara stole victori ireland underneath nose argentina lansdown road saturday gara kick ireland point two drop goal five penalti give home side record autumn intern impress argentina appear control die second puma shock irish earli tri federico aramburu felip contepomi kick point welldril sharper puma outplay outthought ireland earli stage indisciplin allow argentina leinster flyhalf contepomi open score third minut straightforward penalti mark two minut later argentina shock rag ireland first tri game ireland turn ball manuel contepomi broke unstructur defenc feed midfield partner aramburu sprint post gara final got ireland board drop goal ninth minut contepomi rifl second penalti two minut later play strong wind rain ireland continu come second best tight situat turnov began mount rug defenc gara manag land second penalti th minut contepomi repli kind four minut firsthalf injuri time secondhalf start first end gara rifl anoth penalti th minut contepomi match three minut later upperbodi strength puma never allow ireland take control front threequart space manoeuvr ireland reli gara boot keep touch rather contriv run play munsterman land two penalti one metr bring team within four point minut clock remain ireland chanc came argentina number eight gonzalo longo yellow card six minut go offenc lineout gara made mistak rifl fifth penalti set tens final minut ireland show great composur get posit allow gara thump massiv drop goal complet tremend fortuit comeback,sport
1588,wenger sign new deal arsenal manag arsene wenger sign new contract stay club may wenger end specul futur agre longterm contract take beyond open arsenal new stadium two year said sign new contract rubberstamp desir take club forward fulfil ambit still much achiev target drive club excit time arsenal yearold frenchman told arsenal websit wwwarsenalcom intent alway clear love club happi wenger titl fa cup three time reign chairman peter hillwood said absolut delight arsene sign extens contract sinc arriv revolutionis club pitch well six major honour time arsene lead influenc behind major initi club includ construct new train centr also new stadium club continu reap benefit arsene natur eye unearth footbal talent current fantast crop young player come rank togeth number worldclass player play wonder brand footbal meanwhil arsenal director danni fiszman look wenger stay beyond come toward end contract review situat sure want stay hope said fiszman,sport
